3-Letter ID,Call Sign,Country
AAB,ABG,Belgium
AAC,ARMYAIR,United Kingdom
AAD,PANABEAR,Panama
AAE,EUROVIKING,Malta
AAF,AIGLE AZUR,France
AAG,APRICOT,Armenia
AAH,ALOHA,United States
AAI,BOREALIS,United States
AAJ,ALFA SUDAN,Sudan
AAK,ALASKA ISLAND,United States
AAL,AMERICAN,United States
AAM,AIM AIR,Moldova
AAN,ATMOJET,Czech Republic
AAO,HERO,Czech Republic
AAP,ARABASCO,Saudi Arabia
AAQ,ASIA ATLANTIC,Thailand
AAR,ASIANA,South Korea
AAS,AL-AAS,Pakistan
AAT,AFRICA AIRLINES,Congo
AAV,ASTRO-PHIL,Philippines
AAW,AFRIQIYAH,Libya
AAX,ADVANCE AVIATION,Thailand
AAY,ALLEGIANT,United States
AAZ,AEOLUS,Gambia
ABA,AEROBETA,Germany
ABB,AIR BELGIUM,Belgium
ABD,ATLANTA,Iceland
ABE,ABAN,Iran
ABF,SKYWINGS,Finland
ABG,ROYAL FLIGHT,Russia
ABI,AIRALBACETE,Spain
ABJ,ABAETE,Brazil
ABK,AIRBUS CANUCK,Canada
ABL,AIR BUSAN,South Korea
ABM,ALBATROS ESPANA,Spain
ABN,AIR ALBANIA,Albania
ABO,AEROEXPRESO,Colombia
ABP,BAIR,Czech Republic
ABQ,PAKBLUE,Pakistan
ABR,CONTRACT,Ireland
ABT,BENWAYS,Benin
ABV,CARGOBLUE,United Kingdom
ABW,AIRBRIDGE CARGO,Russia
ABX,ABEX,United States
ABY,ARABIA,United Arab Emirates
ABZ,ISLAND LIFEFLIGHT,Bahamas
ACA,AIR CANADA,Canada
ACB,AIRCONTI,Gabon
ACD,ACADEMY,United States
ACE,SKY ACE,United States
ACF,FORCAN,Spain
ACI,AIRCALIN,France
ACJ,SINOJET,Thailand
ACK,ACK AIR,United States
ACL,ADMIRE,Colombia
ACN,AZUL CONECTA,Brazil
ACO,WEBER,United States
ACP,ASTRAL CARGO,Kenya
ACQ,ACE CARGO,India
ACR,AEROCENTER,Spain
ACS,AIRCRAFT SALES,Pakistan
ACT,AMERICAN CHECK,United States
ACU,AFRISPIRIT,Kenya
ACV,CARNAIR,India
ACW,ACRO JETS,Mexico
ACY,CRUX,Russia
ADA,AUSCAL,Australia
ADB,ANTONOV BUREAU,Ukraine
ADC,AD ASTRA,Poland
ADG,AEREA TRAINING,Spain
ADI,AUDELI,Spain
ADJ,SHENDENG JET,China
ADK,ADCO,Nigeria
ADL,COTSWOLD,United Kingdom
ADM,DREAM COLLEGE,Portugal
ADN,AERODIENST,Germany
ADO,AIR DO,Japan
ADP,AERODIPLOMATIC,Mexico
ADR,ADRIA,Slovenia
ADS,ANDERSON,Canada
ADT,ARRENDA-TRANS,Mexico
ADV,ADVANCED,United Kingdom
ADY,NAWRAS,United Arab Emirates
ADZ,MIGRATOR,Bulgaria
AEA,EUROPA,Spain
AEB,AVION EXPRESS,Brazil
AEE,AEGEAN,Greece
AEG,AIREST CARGO,Estonia
AEH,VEGA,Slovenia
AEI,POLISH BIRD,Poland
AEJ,AEROJET,Venezuela
AEK,AEROCON,Bolivia
AEL,RHOMBUS,Netherlands
AEM,AEROMADRID,Spain
AEO,AERO,Guernsey
AEP,AEROTEC,Spain
AER,ACE AIR,United States
AES,GEMINA,Malta
AET,AEROTHAI,Thailand
AEV,AEROVENTAS,Mexico
AEW,SEAGULL,Greece
AEX,AEROX,Mexico
AEY,ZEUS,Panama
AEZ,AEROITALIA,Italy
AFA,BLUE ALFA,Czech Republic
AFB,BULAF,Bulgaria
AFC,AERORUTAS,Venezuela
AFE,AIRFAST,Indonesia
AFF,AIRFERRY,United Kingdom
AFG,ARIANA,Afghanistan
AFH,AIR AFGHANISTAN,Afghanistan
AFI,AFRICAWORLD,Uganda
AFJ,JAMBO,Uganda
AFL,AEROFLOT,Russia
AFM,EPIC AIR,France
AFN,HEKLA,Iceland
AFP,PORTUGUESE AIR FORCE,Portugal
AFQ,ALBA,Italy
AFR,AIRFRANS,France
AFW,BLACKSTAR,Ghana
AFY,AFRICA CHARTERED,Nigeria
AFZ,AFTA,Ireland
AGA,IRAN HANGAR,Iran
AGE,AEROMANAGE,Lithuania
AGF,AIR GEORGIA,Georgia
AGH,ALTAGNA,France
AGK,AGAT,Russia
AGM,ANGEL MED,United States
AGN,GOLF NOVEMBER,Gabon
AGO,ANGOLA CHARTER,Angola
AGP,AIR TARA,Ireland
AGR,ACE EUROPE,Netherlands
AGS,BLUE PORT,Thailand
AGT,AMADEUS,Spain
AGU,SARMA,Russia
AGV,AIR GLACIERS,Switzerland
AGY,EGYPTIAN BIRD,Egypt
AHB,ALHAMBRA,Spain
AHC,ASCENT,Canada
AHD,AIRHANDLING,Czech Republic
AHE,AIRPORT HELICOPTER,Switzerland
AHF,ASPEN,United States
AHH,AIRHOLD,Ireland
AHI,AEROCHISA,Mexico
AHJ,AVYCOP,Mexico
AHK,AIR HONG KONG,China
AHL,HIDALGO,Mexico
AHM,HELI ATLANTIS,Mexico
AHS,HIGH SKY,Pakistan
AHT,HELIAPRA,Portugal
AHU,ABC HUNGARY,Hungary
AHW,SKY CAPITAL,Bangladesh
AHX,AMAKUSA AIR,Japan
AHY,AZAL,Azerbaijan
AIA,AMELIA,France
AIB,AIRBUS INDUSTRIE,France
AIC,AIRINDIA,India
AIE,INUIT,Canada
AIH,AIR INCHEON,South Korea
AIJ,ABC AEROLINEAS,Mexico
AIK,AFRICAN AIRLINES,Kenya
AIM,PIJO,Spain
AIN,FLY CARGO,South Africa
AIO,AIR CHIEF,United States
AIP,ALPINE AIR,United States
AIQ,THAI ASIA,Thailand
AIS,SURESTE,Spain
AIT,AIR TAURUS,Ukraine
AIW,AIRWOLF,Germany
AIX,ANDREW,Canada
AIZ,ARKIA,Israel
AJA,AFGHAN JET,Afghanistan
AJB,AMJET,Argentina
AJC,BAR HARBOR,United States
AJD,CATCH ME,Malta
AJE,JET EXPRES,Mexico
AJG,ATLANTIC JETS,Venezuela
AJH,ALJARAFE,Spain
AJI,AMERISTAR,United States
AJJ,AVJET,South Africa
AJK,BAMBI,Nigeria
AJM,JAMAICA,Jamaica
AJN,BAJANTE,Mexico
AJO,AVIATE JET,Malta
AJP,ANAPJETS,Nigeria
AJQ,PANAJET,Panama
AJR,JET MONGOLIA,Mongolia
AJS,AEROEJECUTIVOS,Colombia
AJT,AMERIJET,United States
AJU,AIRJETSUL,Portugal
AJV,LEE JET,Thailand
AJW,ALPHAJET,United States
AJX,AIR JAPAN,Japan
AJY,AJWAA AIRLINES,Egypt
AJZ,ANGLO JET,South Africa
AKC,ASIALINK CARGO,Indonesia
AKG,GRIFTER,United Kingdom
AKH,AKHAL,Turkmenistan
AKJ,AKASA AIR,India
AKK,AKER,Norway
AKL,AIR KIRIBATI,Kiribati
AKN,ALKAN AIR,Canada
AKP,ASKARI AIR,Pakistan
AKQ,MOONLIGHT,Kenya
AKS,AKEL,Kenya
AKT,ARCTIC,Canada
AKU,ALKEBULAN,Zambia
AKV,FLY SUN WEST,Kenya
AKW,ANGKORWAYS,Cambodia
AKX,ALFA WING,Japan
AKY,YAK-SERVICE,Russia
ALB,ALBATROS,Mexico
ALC,ACOM,United States
ALD,AIR LEISURE,Egypt
ALE,ALLIANCE MALTA,Malta
ALF,ACEFORCE,Belgium
ALI,AIRLIFT,Norway
ALK,SRILANKAN,Sri Lanka
